('Time: ', '2017-04-29 02:43:37.104787', ' Temperature: ', 85.311999999999998)
('Time: ', '2017-04-29 02:43:37.104787', ' Humidity :', 46.198999999999998)
('Time: ', '2017-04-29 02:43:37.104787', ' Pressure:', 1010.9889999999999)
('Time: ', '2017-04-29 02:44:37.745213', ' Temperature: ', 84.845999999999989)
('Time: ', '2017-04-29 02:44:37.745213', ' Humidity :', 46.125999999999998)
('Time: ', '2017-04-29 02:44:37.745213', ' Pressure:', 1010.9099999999999)
('Time: ', '2017-04-29 02:45:38.385335', ' Temperature: ', 84.614999999999995)
('Time: ', '2017-04-29 02:45:38.385335', ' Humidity :', 45.836999999999996)
('Time: ', '2017-04-29 02:45:38.385335', ' Pressure:', 1010.9189999999999)
('Time: ', '2017-04-29 02:46:39.025622', ' Temperature: ', 84.146000000000001)
('Time: ', '2017-04-29 02:46:39.025622', ' Humidity :', 45.278000000000006)
('Time: ', '2017-04-29 02:46:39.025622', ' Pressure:', 1010.9350000000002)
('Time: ', '2017-04-29 02:47:39.637749', ' Temperature: ', 83.724000000000004)
('Time: ', '2017-04-29 02:47:39.637749', ' Humidity :', 45.560999999999993)
('Time: ', '2017-04-29 02:47:39.637749', ' Pressure:', 1010.948)
('Time: ', '2017-04-29 02:48:40.250017', ' Temperature: ', 83.311000000000007)
('Time: ', '2017-04-29 02:48:40.250017', ' Humidity :', 45.131999999999991)
('Time: ', '2017-04-29 02:48:40.250017', ' Pressure:', 1010.9640000000002)
('Time: ', '2017-04-29 02:49:40.892066', ' Temperature: ', 82.801000000000002)
('Time: ', '2017-04-29 02:49:40.892066', ' Humidity :', 45.396999999999991)
('Time: ', '2017-04-29 02:49:40.892066', ' Pressure:', 1010.991)
('Time: ', '2017-04-29 02:50:41.532372', ' Temperature: ', 82.793999999999997)
('Time: ', '2017-04-29 02:50:41.532372', ' Humidity :', 45.589000000000006)
('Time: ', '2017-04-29 02:50:41.532372', ' Pressure:', 1011.0120000000001)
('Time: ', '2017-04-29 02:51:42.116118', ' Temperature: ', 83.189000000000007)
('Time: ', '2017-04-29 02:51:42.116118', ' Humidity :', 44.957999999999991)
